Problem,FZ Cold,FZ Normal,FZ Warm,FF Cold,FF Normal,FF Warm,FF Hot,Evap Fan,Cond Fan,Comp,Score
"<p>Replace Cold Control</p>
<p><img src=""returnDuct.jpg"" class=""responsive""></p>",512,0,0,64,0,0,0,0,0,0,576
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,0,0,1,577
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,0,2,0,578
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,0,2,1,579
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,4,0,0,580
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,4,0,1,581
Intermittent Cold Control  Sticking Closed,512,0,0,64,0,0,0,4,2,0,582
Cold Control Stuck Closed,512,0,0,64,0,0,0,4,2,1,583
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,0,0,0,544
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,0,0,1,545
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,0,2,0,546
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,0,2,1,547
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,4,0,0,548
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,4,0,1,549
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,4,2,0,550
Supply or Return Partially  Blocked,512,0,0,0,32,0,0,4,2,1,551
Supply or Return Blocked,512,0,0,0,0,16,0,0,0,0,528
Supply or Return Blocked,512,0,0,0,0,16,0,0,0,1,529
Supply or Return Blocked,512,0,0,0,0,16,0,0,2,0,530
Supply or Return Blocked,512,0,0,0,0,16,0,0,2,1,531
Supply or Return Blocked,512,0,0,0,0,16,0,4,0,0,532
Supply or Return Blocked,512,0,0,0,0,16,0,4,0,1,533
Supply or Return Blocked,512,0,0,0,0,16,0,4,2,0,534
Supply or Return Blocked,512,0,0,0,0,16,0,4,2,1,535
FF Light Switch,512,0,0,0,0,0,8,0,0,0,520
FF Light Switch,512,0,0,0,0,0,8,0,0,1,521
FF Light Switch,512,0,0,0,0,0,8,0,2,0,522
FF Light Switch,512,0,0,0,0,0,8,0,2,1,523
FF Light Switch,512,0,0,0,0,0,8,4,0,0,524
FF Light Switch,512,0,0,0,0,0,8,4,0,1,525
FF Light Switch,512,0,0,0,0,0,8,4,2,0,526
FF Light Switch,512,0,0,0,0,0,8,4,2,1,527
Food Load,0,256,0,64,0,0,0,0,0,0,320
Food Load,0,256,0,64,0,0,0,0,0,1,321
Food Load,0,256,0,64,0,0,0,0,2,0,322
Food Load,0,256,0,64,0,0,0,0,2,1,323
Food Load,0,256,0,64,0,0,0,4,0,0,324
Food Load,0,256,0,64,0,0,0,4,0,1,325
Food Load,0,256,0,64,0,0,0,4,2,0,326
Food Load,0,256,0,64,0,0,0,4,2,1,327
Temp Good - CC Satisfied,0,256,0,0,32,0,0,0,0,0,288
Temp Good - Comp Running,0,256,0,0,32,0,0,0,0,1,289
Temp Good - Con Fan Running,0,256,0,0,32,0,0,0,2,0,290
Temp Good - Con Fan & Comp Running,0,256,0,0,32,0,0,0,2,1,291
Temp Good - Evap Fan Running,0,256,0,0,32,0,0,4,0,0,292
Temp Good - Evap Fan & Comp Running,0,256,0,0,32,0,0,4,0,1,293
Temp Good - Evap Fan & Con Fan Running,0,256,0,0,32,0,0,4,2,0,294
Temp Good - Temp Not Satisfied,0,256,0,0,32,0,0,4,2,1,295
Cold Control or Defrost Control,0,256,0,0,0,16,0,0,0,0,272
Cold Control ,0,256,0,0,0,16,0,0,0,1,273
Cold Control,0,256,0,0,0,16,0,0,2,0,274
Evap Fan Motor,0,256,0,0,0,16,0,0,2,1,275
Con Fan Motor,0,256,0,0,0,16,0,4,0,0,276
Con Fan Motor,0,256,0,0,0,16,0,4,0,1,277
Comp,0,256,0,0,0,16,0,4,2,0,278
Dirty Condenser,0,256,0,0,0,16,0,4,2,1,279
FF Light Switch,0,256,0,0,0,0,8,0,0,0,264
FF Light Switch,0,256,0,0,0,0,8,0,0,1,265
FF Light Switch,0,256,0,0,0,0,8,0,2,0,266
FF Light Switch,0,256,0,0,0,0,8,0,2,1,267
FF Light Switch,0,256,0,0,0,0,8,4,0,0,268
FF Light Switch,0,256,0,0,0,0,8,4,0,1,269
FF Light Switch,0,256,0,0,0,0,8,4,2,0,270
FF Light Switch,0,256,0,0,0,0,8,4,2,1,271
FZ Supply or Return blocked,0,0,128,64,0,0,0,0,0,0,192
FZ Supply or Return blocked,0,0,128,64,0,0,0,0,0,1,193
FZ Supply or Return blocked,0,0,128,64,0,0,0,0,2,0,194
FZ Supply or Return blocked,0,0,128,64,0,0,0,0,2,1,195
FZ Supply or Return blocked,0,0,128,64,0,0,0,4,0,0,196
FZ Supply or Return blocked,0,0,128,64,0,0,0,4,0,1,197
FZ Supply or Return blocked,0,0,128,64,0,0,0,4,2,0,198
FZ Supply or Return blocked,0,0,128,64,0,0,0,4,2,1,199
FZ Supply or Return blocked,0,0,128,0,32,0,0,0,0,0,160
FZ Supply or Return blocked,0,0,128,0,32,0,0,0,0,1,161
FZ Supply or Return blocked,0,0,128,0,32,0,0,0,2,0,162
FZ Supply or Return blocked,0,0,128,0,32,0,0,0,2,1,163
FZ Supply or Return blocked,0,0,128,0,32,0,0,4,0,0,164
FZ Supply or Return blocked,0,0,128,0,32,0,0,4,0,1,165
FZ Supply or Return blocked,0,0,128,0,32,0,0,4,2,0,166
FZ Supply or Return blocked,0,0,128,0,32,0,0,4,2,1,167
Defrost Timer,0,0,128,0,0,16,0,0,0,0,144
Cold Control,0,0,128,0,0,16,0,0,0,1,145
Cold Control,0,0,128,0,0,16,0,0,2,0,146
Evap Fan Motor,0,0,128,0,0,16,0,0,2,1,147
Cond Fan Motor,0,0,128,0,0,16,0,4,0,0,148
Cond Fan Motor,0,0,128,0,0,16,0,4,0,1,149
"Compressor Is Not Running
<br> Check voltage at relay and overload.",0,0,128,0,0,16,0,4,2,0,150
Sealed System,0,0,128,0,0,16,0,4,2,1,151
FF Light Switch,0,0,128,0,0,0,8,0,0,0,136
FF Light Switch,0,0,128,0,0,0,8,0,0,1,137
FF Light Switch,0,0,128,0,0,0,8,0,2,0,138
FF Light Switch,0,0,128,0,0,0,8,0,2,1,139
FF Light Switch,0,0,128,0,0,0,8,4,0,0,140
FF Light Switch,0,0,128,0,0,0,8,4,0,1,141
FF Light Switch,0,0,128,0,0,0,8,4,2,0,142
FF Light Switch,0,0,128,0,0,0,8,4,2,1,143
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
